20-03-07 17:17:16-06  |Portal| Loading z:\mud\evennia\evennia\server\portal\portal.py...
20-03-07 17:17:18-06  |Portal| Loaded.
20-03-07 17:17:18-06  |Portal| twistd 19.10.0 (z:\mud\evenv\scripts\python.exe 3.7.1) starting up.
20-03-07 17:17:18-06  |Portal| reactor class: twisted.internet.selectreactor.SelectReactor.
20-03-07 17:17:18-06  |Portal| AMP starting on 4006
20-03-07 17:17:18-06  |Portal| Telnet starting on 4000
20-03-07 17:17:18-06  |Portal| Websocket starting on 4002
20-03-07 17:17:18-06  |Portal| Webserver-proxy starting on 4001
20-03-07 17:17:18-06  |Portal| Portal starting server ... ['z:\\mud\\evennia\\evennia\\server\\twistd.bat', '--python=z:\\mud\\evennia\\evennia\\server\\server.py']
20-03-07 17:17:22-06  |Portal| Portal starting server ... ['z:\\mud\\evennia\\evennia\\server\\twistd.bat', '--python=z:\\mud\\evennia\\evennia\\server\\server.py']
20-03-07 17:18:25-06  |Portal| Timing out client: IPv4Address(type='TCP', host='127.0.0.1', port=50412)
20-03-07 17:18:25-06  |Portal| Timing out client: IPv4Address(type='TCP', host='127.0.0.1', port=50402)
20-03-07 17:18:25-06  |Portal| Timing out client: IPv4Address(type='TCP', host='127.0.0.1', port=50403)
20-03-09 23:26:26-05  |Portal| Timing out client: IPv4Address(type='TCP', host='127.0.0.1', port=62457)
20-03-09 23:26:27-05  |Portal| Timing out client: IPv4Address(type='TCP', host='127.0.0.1', port=62456)
20-03-09 23:26:27-05  |Portal| Timing out client: IPv4Address(type='TCP', host='127.0.0.1', port=62461)
20-03-10 12:39:32-05  |Portal| Portal starting server ... ['z:\\mud\\evennia\\evennia\\server\\twistd.bat', '--python=z:\\mud\\evennia\\evennia\\server\\server.py']
20-03-10 13:01:54-05  |Portal| (TCP Port 4001 Closed)
20-03-10 13:01:54-05  |Portal| (TCP Port 4006 Closed)
20-03-10 13:01:54-05  |Portal| (TCP Port 4002 Closed)
20-03-10 13:01:54-05  |Portal| (TCP Port 4000 Closed)
20-03-10 13:01:54-05  |Portal| Main loop terminated.
20-03-10 13:01:54-05  |Portal| Server Shut Down.
20-03-10 13:01:54-05  |Portal| Server Shut Down.
20-03-10 13:02:01-05  |Portal| Loading z:\mud\evennia\evennia\server\portal\portal.py...
20-03-10 13:02:03-05  |Portal| Loaded.
20-03-10 13:02:03-05  |Portal| twistd 19.10.0 (z:\mud\evenv\scripts\python.exe 3.7.1) starting up.
20-03-10 13:02:03-05  |Portal| reactor class: twisted.internet.selectreactor.SelectReactor.
20-03-10 13:02:03-05  |Portal| AMP starting on 4006
20-03-10 13:02:03-05  |Portal| Telnet starting on 4000
20-03-10 13:02:03-05  |Portal| Websocket starting on 4002
20-03-10 13:02:03-05  |Portal| Webserver-proxy starting on 4001
20-03-10 13:02:03-05  |Portal| Portal starting server ... ['z:\\mud\\evennia\\evennia\\server\\twistd.bat', '--python=z:\\mud\\evennia\\evennia\\server\\server.py']
